Atoms,CSP3,Carbon,FormalCharge,Formula,HBA,HBD,HeavyAtoms,Heteroatoms,MR,MW,NAME,NHOH,NO,Rings,RotBonds,TPSA,WlogP
176,0.48,62,-1,C62H80InN12O19S2-,24,13,96,34,358.15,1471.42,DB11835,14,31,5,32,580.82,-1.42
111,0.88,40,0,C40H59NO11,12,2,52,12,186.26,729.41,DB08871,3,12,10,4,146.39,3.44
71,1.0,12,0,C12H29Fe5Na2O23,12,8,42,30,86.91,866.76,DB09146,15,23,2,5,542.03,-15.0
118,0.93,41,0,C41H64O13,13,5,54,13,191.22,764.43,DB01396,5,13,8,7,182.83,3.25
145,0.47,57,0,C57H65F5N10O8,12,4,80,23,285.22,1112.49,DB13878,4,18,10,15,199.58,9.45
146,0.43,49,0,C49H68N18O9S2,14,15,78,29,295.17,1116.49,DB11700,20,27,5,18,499.76,-3.18
197,0.85,59,0,C59H110N6NaO20P,19,9,87,28,320.27,1276.74,DB13615,12,26,0,56,428.08,1.15
134,0.95,41,0,C41H76N2O15,17,5,58,17,212.47,836.52,DB00778,5,17,3,13,216.89,2.21
97,0.86,28,0,C28H44N2O23,21,14,53,25,158.18,776.23,DB08818,14,25,4,12,399.71,-9.28
121,0.95,38,0,C38H69NO13,14,4,52,14,191.05,747.48,DB01211,4,14,3,8,182.91,2.44
124,0.97,38,0,C38H72N2O12,14,5,52,14,194.18,748.51,DB00207,5,14,3,7,180.08,1.9
126,0.77,44,0,C44H69NO12,12,3,57,13,212.59,803.48,DB00864,3,13,4,7,178.36,4.64
118,0.95,37,0,C37H67NO13,14,5,51,14,186.26,733.46,DB00199,5,14,3,7,193.91,1.79
140,0.53,53,0,C53H67N9O10S,14,4,73,20,272.05,1021.47,DB01369,4,19,9,10,256.5,2.32
124,0.81,43,0,C43H68ClNO11,11,2,56,13,211.7,809.45,DB00337,2,12,4,6,158.13,5.72
40,0.0,0,0,H9Bi5N4O22,21,0,31,31,88.32,1461.87,DB13209,9,26,0,0,563.3,-4.57
123,0.59,46,0,C46H62N4O11,14,5,61,15,226.76,846.44,DB00615,5,15,6,4,205.55,4.62
163,0.56,59,0,C59H84N2O18,19,11,79,20,293.33,1108.57,DB01152,13,20,3,10,364.22,3.61
127,0.57,47,0,C47H64N4O12,15,6,63,16,236.81,876.45,DB01201,6,16,7,5,220.15,5.65
138,0.5,46,0,C46H65N13O12S2,16,13,73,27,268.52,1055.43,DB14642,18,25,4,19,476.15,-4.33
169,0.42,65,0,C65H82N2O18S2,18,0,87,22,324.13,1242.5,DB00732,0,20,8,26,257.6,9.25
143,0.33,58,0,C58H66N10O9,11,9,77,19,288.47,1046.5,DB06663,11,19,8,17,281.2,3.37
123,0.72,43,0,C43H65N5O10,14,1,58,15,214.25,811.47,DB00976,1,15,5,11,171.85,4.93
113,0.45,47,0,C47H51NO14,14,4,62,15,217.69,853.33,DB01229,4,15,7,10,221.29,3.74
135,0.63,43,0,C43H67N11O12S2,15,11,68,25,252.61,993.44,DB09059,14,23,3,18,416.27,-3.04
85,0.5,18,0,C18H32Fe4O31,21,0,53,35,117.1,967.83,DB14520,20,31,0,15,745.35,-25.91
88,1.0,23,0,C23H46N6O13,19,13,42,19,138.36,614.31,DB00452,19,19,4,9,353.11,-8.9
138,0.48,46,0,C46H64N14O12S2,15,14,74,28,271.4,1068.43,DB00035,18,26,4,19,486.01,-4.13
111,0.56,43,0,C43H53NO14,14,5,58,15,203.6,807.35,DB01248,5,15,6,8,224.45,3.26
117,0.58,45,0,C45H57NO14,14,3,60,15,213.18,835.38,DB06772,3,15,6,10,202.45,4.57
